公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
002158,汉钟精机,上海汉钟精机股份有限公司,"SHANGHAI HANBELL PRECISE MACHINERY CO.,LTD.",上海市金山区枫泾工业开发区亭枫公路8289号,002158,汉钟精机,2007-08-17,"530,381,122","529,606,912",,,,0,0,华东,上海,上海市,C 制造业,www.hanbell.com.cn
002159,三特索道,武汉三特索道集团股份有限公司,"Wuhan Sante Cableways Group Co.,Ltd.",湖北省武汉市武昌区黄鹂路88号1号楼,002159,三特索道,2007-08-17,"138,666,666","133,882,644",,,,0,0,华中,湖北,武汉市,N 公共环保,www.sante.com.cn
002160,常铝股份,江苏常铝铝业股份有限公司,"JIANGSU ALCHA ALUMINUM CO.,LTD.",江苏省常熟市白茆镇西,002160,常铝股份,2007-08-21,"724,449,941","434,712,275",,,,0,0,华东,江苏,苏州市,C 制造业,www.alcha.com
002161,远 望 谷,深圳市远望谷信息技术股份有限公司,"Invengo Information Technology Co., Ltd",广东省深圳市南山区高新技术产业园区南区T2栋B座3层,002161,远 望 谷,2007-08-21,"739,757,400","698,008,990",,,,0,0,华南,广东,深圳市,C 制造业,www.invengo.cn
002162,悦心健康,上海悦心健康集团股份有限公司,"SHANGHAI  EVERJOY  HEALTH  GROUP  CO., LTD.",上海市闵行区浦江镇三鲁公路2121号,002162,悦心健康,2007-08-23,"852,150,000","814,798,872",,,,0,0,华东,上海,上海市,C 制造业,www.cimic.com
002163,中航三鑫,中航三鑫股份有限公司,"AVIC SANXIN HOLDING CO.,LTD",广东省深圳市南山区南海大道2061号新保辉大厦17层,002163,中航三鑫,2007-08-23,"803,550,000","803,310,001",,,,0,0,华南,广东,深圳市,E 建筑业,www.sanxinglass.com
002164,宁波东力,宁波东力股份有限公司,"Ningbo Donly Co.,LTD",浙江省宁波市江北区银海路1号,002164,宁波东力,2007-08-23,"445,625,000","414,312,275",,,,0,0,华东,浙江,宁波市,C 制造业,www.donly.com.cn
002165,红 宝 丽,红宝丽集团股份有限公司,HONGBAOLI  GROUP  CORPORATION，LTD.,江苏省南京市高淳区经济开发区双高路29号,002165,红 宝 丽,2007-09-13,"602,058,110","527,598,447",,,,0,0,华东,江苏,南京市,C 制造业,www.hongbaoli.com
002166,莱茵生物,桂林莱茵生物科技股份有限公司,Guilin Layn Natural Ingredients Corp.,广西壮族自治区桂林市临桂县西城南路秧塘工业园,002166,莱茵生物,2007-09-13,"437,281,362","348,990,346",,,,0,0,华南,广西,桂林市,C 制造业,www.layn.com.cn
002167,东方锆业,广东东方锆业科技股份有限公司,"GUANGDONG ORIENT ZIRCONIC IND SCI & TECH CO.,LTD.",广东省汕头市澄海区莱美路宇田科技园,002167,东方锆业,2007-09-13,"620,946,000","454,921,632",,,,0,0,华南,广东,汕头市,C 制造业,www.orientzr.com
